REAL NEWS,
,NEWSEXAMINER,,NYTPOLITICAL,,THEGUARDIAN,
,Subjectivity,Polarity,Subjectivity,Polarity,Subjectivity,Polarity
,0.44517543859649117,-0.006834795321637432,0.5210774051818826,0.1273186017962137,0.4034310828060828,0.07914051226551228
,0.30501358991085026,0.03881115459882583,0.2810848208108482,0.038062128130621285,0.42497704315886137,0.07087695133149678
,0.3106060606060606,-0.03833333333333333,0.3115455576169862,0.057704596990311274,0.5118786295005807,0.09745644599303138
,0.4148418042862488,-0.032761744428411094,0.48701298701298706,0.13441558441558443,0.28957607433217186,-0.02113821138211382
,0.350056795056795,0.07022847522847522,0.3521574875741542,0.08395412457912457,0.5420426065162907,0.06973684210526315
,0.5439504939504942,0.04153069153069153,0.44165857331074715,0.12058018068887633,0.4119339105339104,0.06500865800865802
,0.38269675925925933,0.004976851851851846,0.23401875901875901,0.11113816738816738,0.37569264069264063,0.03229020979020979
,0.2886820007301934,0.029636728733114275,0.3765034965034965,0.14202797202797204,0.37615013774104683,0.02564049586776859
,0.47875036075036065,0.07482828282828284,0.40022893772893775,0.09604978354978358,0.5608333333333333,0.12569444444444444
,0.3556583446994406,0.057261954179762396,0.35638568459081277,0.1074354657687991,0.4191823899371069,0.16619496855345905
,0.42927579365079377,0.11665277777777779,0.456106626106626,0.12492390117390122,0.396969696969697,-0.0369949494949495
,0.4713809523809524,0.10612987012987013,0.3741075937950937,0.1156867784992785,0.3871637426900585,0.07296052631578946
,0.4618792517006804,0.18023809523809525,0.32567949554250925,0.09394433572515763,0.47669101731601715,0.09048687058555478
,0.3835425685425686,-0.038523665223665224,0.3751004159239454,0.12938175876411168,0.42747275046382177,0.05480538806431665
,0.45542651337733286,0.16360336384926555,0.32596660585791015,0.04932635299483125,0.497999222999223,0.12907925407925414
,0.42170093795093805,-0.004457972582972587,0.3867424242424242,-0.010037878787878778,0.3760026085026084,0.07381757131757131
,0.44004466183711466,0.03936752974488823,0.34107320540156366,0.04277540867093105,0.47944238301381165,0.08638940424654709
,0.4396286393345216,0.07358840505899326,0.4661792615596963,0.09062068668046928,0.3808952380952381,0.04955238095238097
,0.4924242424242425,0.2727272727272727,0.4875267829813285,0.08189798417071144,0.4387488521579431,0.12006657483930214
,0.4546340023612751,0.04259149940968123,0.4462507685551164,0.056085858585858586,0.41446819781139294,0.015905865994623385
