REAL NEWS,Subjectivity,Polarity
NEWSEXAMINER,0.44517543859649117,-0.006834795321637432
NEWSEXAMINER,0.30501358991085026,0.03881115459882583
NEWSEXAMINER,0.3106060606060606,-0.03833333333333333
NEWSEXAMINER,0.4148418042862488,-0.032761744428411094
NEWSEXAMINER,0.350056795056795,0.07022847522847522
NEWSEXAMINER,0.5439504939504942,0.04153069153069153
NEWSEXAMINER,0.38269675925925933,0.004976851851851846
NEWSEXAMINER,0.2886820007301934,0.029636728733114275
NEWSEXAMINER,0.47875036075036065,0.07482828282828284
NEWSEXAMINER,0.3556583446994406,0.057261954179762396
NEWSEXAMINER,0.42927579365079377,0.11665277777777779
NEWSEXAMINER,0.4713809523809524,0.10612987012987013
NEWSEXAMINER,0.4618792517006804,0.18023809523809525
NEWSEXAMINER,0.3835425685425686,-0.038523665223665224
NEWSEXAMINER,0.45542651337733286,0.16360336384926555
NEWSEXAMINER,0.42170093795093805,-0.004457972582972587
NEWSEXAMINER,0.44004466183711466,0.03936752974488823
NEWSEXAMINER,0.4396286393345216,0.07358840505899326
NEWSEXAMINER,0.4924242424242425,0.2727272727272727
NEWSEXAMINER,0.4546340023612751,0.04259149940968123
NEWSEXAMINER,0.40192550505050506,0.14717487373737373
NEWSEXAMINER,0.3825164083228599,0.012329807289484709
NEWSEXAMINER,0.3813718987106083,0.019666713215100308
NEWSEXAMINER,0.41693376068376053,0.054449023199023214
NEWSEXAMINER,0.4304306984501789,0.09073995989580406
NEWSEXAMINER,0.44969813969813965,0.12457353457353457
NEWSEXAMINER,0.3326774235865145,0.19659254886527613
NEWSEXAMINER,0.28236363636363637,0.03457575757575757
NEWSEXAMINER,0.40409417066951314,0.011440579967977219
NEWSEXAMINER,0.33373297709235217,-0.027709573412698415
NEWSEXAMINER,0.3528849097030915,-0.03474900520355067
NEWSEXAMINER,0.4573722573722574,0.160191428941429
NEWSEXAMINER,0.34403591306652526,0.13266145419206646
NEWSEXAMINER,0.38296296296296295,0.0838888888888889
